LIMIT_BAL,AGE,topay,BILLAMT,PAYMENT
30000,25,0,71631,10000
150000,26,0,635657,19867
70000,32,0,417808,16035
130000,49,-1,90884,21878
50000,36,2,243532,7300
50000,29,-3,33618,13263
110000,33,1,14230,1000
140000,32,-9,0,0
260000,38,-5,74449,50795
80000,23,-8,68850,0
80000,33,12,341985,14400
90000,25,-5,86633,59126
80000,34,-1,326149,41663
30000,30,28,14400,0
200000,29,-6,24583,17511
110000,39,0,563971,17340
100000,33,0,376395,14700
30000,51,0,75981,4378
200000,50,-12,3863,3836
30000,23,12,176580,5900
360000,33,-6,23371,1058
120000,34,6,681695,27131
30000,28,-2,95558,6000
110000,34,0,561200,19593
280000,47,-1,1270844,231084
180000,48,-8,5501,1891
210000,45,-12,17108,29992
20000,47,10,101265,6009
300000,58,-6,19390,9665
200000,36,-6,9544,9602
550000,33,-12,28514,57577
170000,27,-5,60665,58631
30000,22,-3,11659,13263
500000,36,-3,69008,108854
180000,24,-1,67501,32955
270000,36,0,110902,7730
500000,43,0,729605,25002
180000,43,-6,86066,94936
280000,31,-12,2020,2020
50000,35,-6,1785,1791
60000,42,0,227759,10000
230000,36,-3,26975,28677
160000,41,-9,0,0
170000,45,0,925998,31343
200000,37,-3,1295,877
90000,46,0,179388,12684
30000,30,13,173709,33747
150000,27,-10,1345,24948
290000,50,0,509830,26459
470000,34,0,1400136,70424
130000,70,-9,0,0
280000,27,-12,11591,11665
110000,29,0,657111,25164
30000,31,0,105364,14277
200000,35,-6,122072,141422
280000,39,-12,24414,26186
420000,42,0,716339,23713
360000,31,-8,14917,15906
120000,43,-7,16961,13006
210000,26,0,900272,30122
300000,34,-6,7000,7000
30000,43,11,81415,5146
120000,51,2,750331,30246
240000,31,-6,18762,21478
220000,39,0,725349,42550
360000,36,-12,14416,12420
10000,58,0,54698,4648
240000,38,2,17025,7722
50000,24,-6,26296,7522
50000,49,0,201144,8134
80000,24,-5,4426,1994
170000,60,0,732278,29100
50000,39,0,245589,11600
50000,42,0,236604,17503
230000,36,0,1179698,148120
300000,34,0,1400112,48373
280000,29,0,663552,25561
20000,47,0,2340,1560
240000,34,-4,45809,25153
100000,42,0,398841,18000
360000,35,-4,110072,84991
70000,32,0,430139,83644
270000,25,0,215835,11921
290000,36,-12,1583,2135
400000,34,-4,74510,55986
300000,59,6,15000,0
210000,44,-12,63378,58983
50000,55,2,203179,8400
110000,39,0,509531,15630
240000,29,-2,17581,6605
50000,24,3,225110,10816
80000,28,0,341785,12770
20000,24,5,50604,4400
130000,29,3,876591,142267
210000,29,-6,35087,16647
130000,28,0,476395,17100
130000,46,0,472159,26000
20000,22,0,81685,18582
240000,30,-12,0,0
100000,27,-7,5314,2387
180000,44,2,846239,35566
210000,32,-1,7727,6533
160000,58,-7,4816,4816
410000,45,-12,19284,21365
240000,55,0,1234051,53247
50000,29,0,101739,19725
60000,35,-2,69849,31379
210000,32,2,1020835,56328
200000,26,-12,16578,15526
70000,28,0,123931,90000
210000,33,-6,23763,18878
70000,53,-6,38645,14000
50000,22,0,220481,8806
80000,30,12,257149,11100
100000,42,4,494762,15428
30000,36,-9,11367,11658
20000,33,11,106140,6000
140000,58,2,569750,27840
50000,29,-2,142122,74166
60000,28,2,98268,49015
260000,30,-12,26872,23558
20000,28,4,80810,5617
170000,28,0,333007,12475
170000,36,-6,17719,9286
230000,30,0,34416,11000
50000,49,-2,150184,5400
150000,55,-3,3680,1560
60000,23,5,291469,24448
170000,30,-12,18727,15000
30000,36,0,85844,7800
300000,26,-1,204367,71093
150000,25,-1,227484,84086
70000,25,6,237063,11213
20000,28,2,72543,20400
290000,34,0,252230,12000
50000,36,0,293725,13000
330000,34,-2,358554,265432
80000,36,2,470809,19500
130000,39,2,588548,25100
210000,25,-3,267132,138271
20000,25,0,102726,21400
400000,29,-12,87880,108305
500000,38,-12,87724,111068
360000,42,-8,50221,5841
30000,58,12,168325,7703
130000,37,7,415168,14400
80000,28,-12,35091,30789
120000,27,-9,0,0
50000,52,-4,7741,1318
60000,24,0,134911,7081
30000,25,0,133171,7858
240000,33,0,517308,20300
150000,32,6,293271,10367
450000,41,-12,6349,6721
150000,33,-5,79026,6221
250000,25,3,116827,5575
110000,63,-6,2340,2340
70000,35,13,349992,7251
30000,35,-8,24623,16882
180000,35,3,161685,3600
260000,34,-12,7981,9830
50000,26,5,240862,10062
80000,26,-4,570,2320
50000,38,0,215899,17200
400000,31,-4,115254,28318
360000,48,-6,23555,16211
360000,31,-9,0,0
130000,30,3,2730,1170
50000,38,-6,2340,2340
300000,40,-12,32486,16610
220000,29,11,194584,8647
50000,52,0,174013,33627
50000,24,0,291237,10689
90000,25,0,465009,18601
500000,41,2,2909971,102643
180000,29,-1,139781,4636
30000,44,9,60263,5892
240000,38,-12,132491,129005
100000,31,7,138721,7700
30000,32,2,169161,10903
130000,57,0,404478,17000
160000,35,-6,3200,2805
70000,30,2,256512,58071
140000,28,-5,31226,26712
70000,32,2,73013,13000
200000,27,2,1108865,56764
120000,30,-12,25953,23288
390000,37,0,891872,51409
190000,48,-4,493679,13461
190000,34,-9,-108,0
80000,55,0,295724,14704
50000,25,4,180092,23833
150000,28,-12,0,0
120000,28,-9,0,0
240000,51,-9,29883,29891
100000,35,8,313920,16800
360000,39,-9,830,832
100000,27,0,175375,35500
50000,25,0,39329,10180
180000,33,-6,48765,56940
280000,39,0,683972,26156
30000,23,2,173235,9421
240000,29,0,1009549,106224
210000,48,-5,78334,71458
50000,36,0,213095,18000
420000,45,-4,26128,23392
230000,26,-3,252363,134839
50000,47,0,81050,6641
160000,39,-12,1121,1121
230000,43,0,51785,13051
180000,27,2,675709,77621
380000,51,-4,210597,149399
140000,30,0,10120,8043
60000,39,5,173405,10638
170000,34,-6,4786,4028
150000,26,12,434760,13837
240000,35,-12,0,0
130000,43,13,119420,4400
50000,51,0,117192,5175
200000,38,-6,10251,6992
120000,29,-1,12143,8663
150000,46,0,528962,70555
210000,27,0,529468,20600
500000,48,0,710714,185821
120000,25,-9,0,0
200000,44,-12,2340,2490
30000,38,-7,11396,13275
40000,24,2,238450,9536
360000,50,-9,3602,0
210000,35,-6,9204,9391
480000,49,-12,512069,485616
270000,48,6,409104,50018
160000,42,5,696017,20048
80000,45,-5,-150,2780
190000,27,8,36338,8000
