LIMIT_BAL,AGE,topay,BILLAMT,PAYMENT
240000,40,-12,0,0
50000,23,-6,23477,23119
50000,36,8,267147,10204
200000,54,22,526485,0
240000,35,-5,78949,83980
60000,23,0,91737,21999
200000,31,0,183929,16000
250000,33,0,930802,37300
130000,58,-1,391078,7903
20000,39,3,2730,1170
100000,50,0,411065,74827
300000,38,-1,103457,5555
260000,27,0,514490,17256
160000,30,0,638492,21807
130000,37,0,419198,15839
210000,36,-9,56172,44164
40000,25,2,242974,14888
230000,31,-2,10804,8334
10000,46,0,55518,3733
260000,53,11,802298,48656
120000,51,0,677445,31500
490000,42,0,1322335,50002
130000,27,-1,535332,93425
120000,27,12,689568,29545
310000,29,0,136033,6319
300000,32,-4,8568,6911
200000,40,-3,47457,42966
390000,64,-8,8668,13158
210000,39,-9,0,0
100000,35,12,592330,30300
80000,48,6,141916,12452
120000,52,0,733791,31632
290000,49,-3,35520,12000
50000,26,2,201292,29938
200000,31,0,1102271,41746
250000,32,-8,91104,43168
350000,50,0,1451569,81522
230000,29,-6,20003,16037
80000,37,6,386588,83103
230000,29,0,54037,25050
140000,50,2,610976,23200
50000,29,2,241158,9300
320000,32,-5,2861,1948
330000,29,0,837873,35448
130000,29,0,438814,23520
210000,27,0,153144,14077
500000,33,0,213631,97357
40000,27,0,222267,9183
180000,41,0,49406,18228
60000,22,-2,75981,63970
100000,29,-6,13700,10764
180000,30,8,104020,8700
210000,33,-12,1723,0
240000,38,-12,0,0
60000,23,11,185629,8209
20000,23,0,50454,8064
240000,39,-12,11958,0
360000,34,1,15502,4749
50000,22,0,115791,5866
20000,30,16,117397,3558
240000,34,-12,0,0
100000,49,0,441571,16455
110000,41,0,403371,16329
270000,40,-6,189865,171456
180000,35,-8,6157,5336
100000,49,-9,0,0
150000,38,0,242283,10200
50000,44,0,210238,16398
120000,33,0,686255,26120
60000,25,0,107646,9448
150000,31,-9,0,0
20000,24,5,31261,4724
160000,53,-1,8082,11598
130000,51,0,663122,28801
50000,25,-1,49063,32181
180000,49,0,212343,7668
180000,41,-7,22135,18535
460000,42,-4,119668,8968
80000,60,-4,4075,5941
70000,31,3,100461,18100
50000,50,0,86386,5726
50000,30,-6,11130,7498
20000,35,8,51828,5304
20000,36,9,83093,5979
50000,30,0,247844,8834
50000,30,0,188290,11220
320000,30,-12,11175,13948
280000,33,0,1222784,42909
180000,25,0,454675,17700
300000,26,-6,11911,17011
30000,25,4,140720,9027
300000,27,-12,0,0
30000,38,-6,101310,54836
320000,41,0,1512573,98030
150000,26,0,69681,7875
400000,29,-4,119511,62218
390000,41,-6,31156,31645
230000,31,0,133016,8383
20000,22,4,99924,7822
80000,26,4,5086,38550
30000,43,-2,137359,32720
350000,38,0,396007,49000
280000,36,7,1045221,42100
50000,40,3,7086,4360
60000,31,2,270783,11273
40000,24,0,241676,9880
210000,54,0,590269,22522
160000,28,8,710581,23770
300000,38,6,1090205,45350
160000,35,0,793688,39854
470000,30,0,737227,23890
440000,39,0,258611,102373
160000,39,-12,7058,15095
110000,32,-2,21230,11870
20000,58,-8,12066,0
160000,32,-9,0,0
130000,27,-4,16134,6180
290000,49,-12,31270,29344
60000,28,-2,97658,39152
470000,38,0,933633,36909
70000,26,0,209235,18600
80000,36,-12,3966,0
150000,30,-2,18207,10000
30000,22,10,180949,7191
130000,30,-5,9225,8727
30000,35,2,150499,10927
360000,35,-6,118397,133707
310000,46,2,647922,28934
120000,28,-3,9836,6412
200000,38,-12,0,0
50000,35,2,116977,12188
80000,48,-8,10033,8835
80000,25,11,187464,7898
80000,37,6,313813,14578
360000,33,23,2095787,112131
120000,28,2,476459,21760
240000,54,2,929494,260104
240000,32,-6,52115,5000
50000,34,0,78552,23251
30000,24,4,142518,12702
500000,42,0,1443598,43645
350000,43,-11,12619,10984
360000,48,-12,2500,0
230000,31,0,674331,32691
50000,24,-6,17182,16404
100000,30,3,520758,15556
230000,54,-12,880,2620
20000,24,0,126055,9234
140000,29,2,806537,46972
200000,30,0,1095812,41544
220000,29,0,1135096,46235
260000,40,-8,34471,0
90000,55,0,201333,11164
60000,31,-5,2230,7510
100000,38,-1,18614,9440
150000,55,-6,35938,41663
30000,45,6,29960,15494
190000,24,-1,536288,132177
20000,28,3,38279,2850
20000,48,0,111130,7579
20000,49,0,107974,7666
180000,34,0,131379,17487
220000,43,-4,154835,99542
20000,50,27,128030,994
360000,44,-6,82811,73700
20000,22,0,127107,15648
70000,55,0,294854,10878
500000,36,-6,73594,48990
370000,28,0,817955,58000
90000,24,-1,157209,25600
310000,37,-12,0,0
30000,49,0,52773,4765
10000,61,0,54953,4117
50000,29,0,283776,13605
100000,30,7,198085,8050
200000,30,-6,2080,2496
210000,32,-4,84315,68851
580000,31,0,2947019,116079
290000,30,0,952555,29400
130000,24,0,51591,9023
70000,27,10,207844,11500
110000,29,2,629693,34165
360000,29,-12,4438,4540
200000,60,-6,2591,2591
200000,30,-3,50412,28879
80000,39,9,85782,6200
340000,39,0,724668,23000
90000,38,2,479313,20000
140000,30,-1,167240,48604
50000,55,0,138405,6478
20000,22,3,116882,5393
240000,36,-9,0,0
260000,41,-4,83474,91047
230000,25,0,319490,15000
340000,39,-12,172302,81511
90000,28,2,117292,8800
30000,33,3,149098,31741
260000,29,0,56649,20027
60000,37,2,237105,30000
220000,41,33,1413611,0
500000,23,9,2926653,75500
150000,37,2,635396,31725
50000,32,0,183481,7244
50000,40,0,213287,21854
50000,26,12,126309,7570
20000,37,-5,68925,39066
230000,29,4,248027,17500
360000,58,-6,94176,91008
180000,38,-9,14820,15211
180000,45,-9,0,0
50000,25,0,238848,11747
150000,26,0,692766,28300
220000,48,2,753507,36300
50000,29,8,39812,2996
80000,45,0,97124,7009
50000,23,4,178103,5126
120000,46,0,184724,8060
50000,25,0,151117,11500
350000,29,0,141469,13846
170000,33,2,1003195,41217
90000,29,0,395183,20094
90000,28,-8,5580,776
90000,27,0,402520,16200
20000,36,13,111962,6217
30000,48,2,198455,7898
140000,24,0,190989,11522
400000,31,0,1168423,44500
50000,23,0,146307,6807
20000,24,-9,3186,1405
50000,47,-2,3120,1950
190000,40,0,544374,38600
200000,35,0,203086,9556
300000,48,-12,0,0
220000,30,0,128879,14553
100000,48,-12,6345,0
180000,52,0,940797,33909
240000,28,0,758251,31236
500000,41,-4,52169,35886
230000,32,1,180416,2307
290000,26,0,1162540,32098
200000,25,0,658457,24786
110000,51,0,383448,12600
200000,32,-1,85112,32602
500000,43,-12,83441,84808
270000,40,0,282755,15239
70000,37,0,306757,26084
10000,23,-6,4896,3423
70000,31,0,400545,15886
200000,41,12,16324,12956
80000,25,3,305819,11928
80000,27,0,337657,41524
20000,37,10,101993,7700
250000,25,-3,61396,57261
60000,46,0,215089,8357
290000,33,-1,58341,55402
140000,39,0,817446,33559
30000,33,0,79875,5737
180000,43,-7,1950,1560
200000,32,0,712292,29700
150000,25,0,514938,14103
20000,41,5,20930,3067
20000,28,4,46934,9505
260000,52,6,3100,2500
130000,37,2,220945,7919
160000,30,4,470859,19058
420000,34,0,1268927,47454
130000,33,0,628671,21000
70000,44,0,85424,7685
20000,51,-10,10400,2000
50000,30,0,179434,5484
90000,50,0,389442,14568
50000,58,0,34794,4637
290000,37,-6,10868,10309
120000,34,6,319918,16800
50000,44,2,127460,48610
30000,34,0,169768,9624
110000,25,4,21829,11431
50000,51,8,212342,10000
480000,48,-6,319291,336449
380000,35,-6,16392,16405
200000,26,-1,452872,104387
260000,41,4,675351,27900
220000,37,0,238211,40294
130000,37,0,267036,31117
100000,43,0,282874,10293
140000,26,-1,132497,47547
280000,41,0,440809,16707
20000,22,2,60351,7142
20000,33,-1,84497,24047
30000,24,4,167308,9202
220000,41,0,621278,22511
80000,23,-4,10429,9512
60000,42,-3,88513,6465
160000,39,0,277600,118582
20000,36,2,121422,6110
100000,31,7,225593,7100
340000,42,-6,85817,118081
20000,23,2,104834,6283
500000,33,-12,115621,110260
20000,27,0,100174,8630
50000,26,0,214332,9114
20000,42,12,113796,5327
390000,28,0,393214,30007
360000,29,-6,21882,25491
200000,37,-12,1193,1577
90000,35,0,105625,11241
50000,25,-4,14459,31579
180000,25,0,632929,23015
50000,22,-4,10143,27333
120000,24,-6,10180,7544
70000,48,3,66431,5200
200000,41,0,1114772,40584
360000,35,-6,11708,12707
220000,32,-12,-6684,26009
120000,25,19,608347,30700
50000,40,-12,2487,3082
120000,24,-7,49465,50865
360000,29,0,375581,166308
480000,38,-5,880847,328573
140000,34,6,177455,9493
280000,29,0,514049,17040
50000,34,-12,99468,23564
50000,42,0,245027,7200
150000,25,0,135701,57712
150000,29,0,877930,35704
360000,32,-12,13728,95557
280000,49,-11,91118,98729
170000,29,-9,0,0
220000,53,2,1303667,47288
150000,43,-2,52114,6000
100000,29,-6,10969,19954
20000,27,0,108344,9246
500000,36,0,1337091,205103
240000,30,-3,81980,34078
20000,26,0,85912,4315
300000,41,0,640835,116005
20000,22,15,115851,3200
50000,34,4,166104,5750
220000,43,0,22184,12630
360000,36,-1,808190,293544
210000,49,-9,0,0
320000,32,2,1890098,66665
70000,57,0,406241,13612
120000,34,-9,0,0
230000,29,0,397480,15500
90000,48,11,411870,14486
120000,35,0,586419,26400
30000,46,11,78343,4470
60000,39,2,319081,19000
140000,30,0,599341,23034
300000,33,0,1264684,281709
140000,32,-1,94049,36788
90000,49,-12,22154,24009
40000,36,3,228103,10075
170000,25,0,568005,22299
550000,50,8,2973797,124432
290000,46,-6,180540,151744
230000,30,0,1317926,63422
80000,31,-3,55230,30128
30000,21,0,163214,8096
200000,40,0,249005,9522
50000,39,11,228586,9133
50000,42,2,122592,25955
30000,37,6,127975,9425
170000,44,-9,0,0
300000,34,-1,110260,66920
140000,46,0,778537,28000
30000,39,0,171878,20506
230000,32,-7,351,783
400000,24,0,207452,8003
150000,26,-2,383623,19500
50000,45,0,203376,6648
180000,37,0,192795,19800
160000,25,-5,1588,2170
210000,44,0,552537,50057
110000,41,0,515060,24530
100000,40,3,15053,11574
110000,46,-5,118391,121032
500000,73,-12,21059,21770
160000,46,-12,15029,8805
390000,33,0,207275,44504
100000,34,8,147997,12100
350000,37,-12,9685,13506
260000,38,-6,57613,42548
500000,28,-7,194694,37064
60000,29,6,253583,8540
80000,44,9,308293,23500
60000,27,4,346840,15246
200000,30,0,668187,27611
340000,37,-6,74808,68545
20000,42,0,17131,16
50000,43,0,189379,8400
310000,66,0,1405423,50198
380000,39,0,464818,130973
350000,34,0,248503,65500
350000,32,2,1658945,68810
360000,37,-7,7982,352500
490000,27,-1,1093570,120356
170000,46,-5,12628,10824
80000,37,-1,11947,6911
230000,40,-6,8823,8678
390000,39,0,1492912,85470
50000,33,2,180783,7689
80000,41,0,386277,14703
50000,36,2,247712,57004
70000,37,4,28778,10468
180000,43,-5,29849,22359
100000,46,5,448243,13616
60000,39,-6,7840,7657
50000,41,0,177082,6716
30000,35,9,157072,6000
20000,35,11,107063,8308
260000,42,0,1312382,113530
360000,33,-12,0,0
80000,29,-5,8370,4532
210000,52,-4,99134,64040
50000,43,2,220014,8911
50000,33,2,151869,6934
90000,34,-3,16292,0
200000,27,12,1082220,31700
50000,23,2,181591,12000
180000,39,6,1077671,34850
70000,36,-1,105368,30825
100000,29,-10,500,0
500000,50,11,470157,15610
240000,26,0,1221605,49216
260000,32,-12,1150,1150
360000,25,-6,51346,57448
90000,37,0,235948,9250
290000,29,-9,0,0
20000,22,-5,26104,12550
30000,26,-4,85477,32305
130000,24,3,36378,21857
50000,48,0,169815,9082
180000,30,-6,1740,1530
420000,30,0,115341,11788
220000,39,0,452961,24365
50000,34,6,249953,10447
80000,31,7,342661,16100
30000,30,-1,171137,34100
90000,25,0,464824,28463
80000,33,0,344445,16032
170000,42,0,629926,29500
300000,34,-6,51445,39715
20000,62,2,87086,4138
120000,30,0,614801,29700
20000,24,2,99914,7066
230000,28,-7,97082,111557
50000,29,3,353306,13358
20000,22,-2,95690,37216
110000,31,6,537813,20060
130000,44,-4,294076,140848
130000,34,6,787615,31605
20000,34,-1,2340,1170
20000,28,7,110144,4352
50000,46,0,189710,6736
200000,36,-7,67285,74974
210000,52,-7,2903,6308
140000,37,-3,18344,4761
320000,39,0,779227,28163
90000,62,-2,193735,36000
130000,34,0,719582,30595
180000,40,-6,51332,9593
10000,23,2,46067,5154
120000,47,-4,16710,5460
80000,32,4,141470,8000
80000,32,0,110416,20584
390000,38,-4,64244,33373
420000,27,-12,90000,89996
50000,36,0,419618,14291
50000,35,0,122852,3701
50000,29,10,223682,9000
180000,34,0,130795,9490
150000,65,-12,500,500
140000,30,-5,32823,18015
240000,60,2,1022738,222974
50000,26,-2,14853,57178
50000,28,-8,30678,294
130000,29,-9,0,1313
360000,36,-9,11536,11647
100000,50,14,412518,17000
180000,27,0,382054,115041
150000,27,-12,1830,1830
180000,28,0,201409,9200
200000,40,-12,54761,62292
50000,29,16,6300,0
80000,29,-12,0,0
50000,36,28,14400,0
60000,46,8,164741,8789
60000,47,0,290800,64700
180000,37,0,561573,25110
210000,41,-12,109561,102579
50000,37,-1,211381,54513
160000,31,0,665419,28792
170000,25,-1,100447,50625
50000,41,6,148419,5062
20000,24,13,78293,3959
390000,42,-2,107665,44249
260000,37,0,892353,43028
280000,47,-6,19126,19205
10000,24,0,47751,9000
720000,38,-9,17997,13423
350000,38,-7,110784,67316
500000,55,2,1823413,160800
130000,40,0,129458,63755
30000,39,11,152367,6247
200000,45,-7,479,479
270000,32,6,85273,11000
30000,54,8,153887,7200
310000,33,0,463855,18205
50000,41,0,119110,5471
350000,34,0,553724,21240
60000,41,0,345927,13850
20000,23,3,115242,4754
100000,33,0,300807,21101
360000,34,-6,2040,2040
500000,49,-7,140965,178426
100000,47,0,181988,21565
20000,32,6,101324,6700
20000,41,-3,4049,3532
80000,37,0,90306,39428
180000,44,-9,0,0
420000,35,0,344676,13902
210000,34,0,543103,19102
30000,31,-2,114201,7599
130000,29,-12,1715,2315
210000,40,4,825544,30588
210000,29,0,331349,15600
180000,30,-7,7996,10205
300000,46,-2,28544,18867
20000,40,0,102464,9800
20000,22,2,119661,6466
90000,42,-4,270155,9500
90000,46,-12,8257,8020
130000,43,0,700442,27300
20000,23,-1,99423,11900
90000,36,0,400395,15539
150000,23,-3,49183,21899
420000,34,0,543990,95575
240000,30,-5,40924,37676
30000,33,0,152514,7256
150000,37,-12,54374,35685
300000,32,-12,0,0
50000,35,-9,27500,5640
380000,30,4,189328,12263
10000,22,-4,4116,1950
